Baslik,Fiyat,Lokasyon,Yas,Kat,Metrekare,Link,KatSayisi,Ilce
Küçükler Gayrimenkulden 1nolu Erdoğduda Yatırımlık Satılık Daire,2500000,Trabzon / Ortahisar / 1 Nolu Erdoğdu Mah.,21,4. Kat,115,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-erdogdu-satilik/daire/51410-1931,4.0,Ortahisar
Vıp Gayrimenkuldan Son Fırsat Manzara Evlerinde Satılık Daire,5800000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,1,3. Kat,175,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/daire/163440-120,3.0,Ortahisar
"Akyazı Ze Residence Satılık 4,5+1 Lux Daireler",12500000,Trabzon / Ortahisar / Akyazı Mah.,3,3. Kat,265,https://www.hepsiemlak.com/trabzon-ortahisar-akyazi-satilik/daire/163938-42,3.0,Ortahisar
Yalı Gayrimenkul'Den Uygun Fiyata Satılık Kiracılı Fırsat 2+1 Daire,850000,Trabzon / Ortahisar / Değirmendere Mah.,30,Bahçe Katı,98,https://www.hepsiemlak.com/trabzon-ortahisar-degirmendere-satilik/daire/131919-465,0.0,Ortahisar
1 Nolu Bostancı Satılık 2+1 Yerden Isıtmalı Fırsat Sıfır Daire,3800000,Trabzon / Ortahisar / 1 Nolu Bostancı Mah.,0,2. Kat,120,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-bostanci-satilik/daire/153201-106,2.0,Ortahisar
Vip Gayrimenkulden 2 Nolu Beşirlide Satılık 3+1 Daire,2700000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,31,1. Kat,150,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/daire/163440-66,1.0,Ortahisar
Çukurçayır'In Kalbinde Deniz Ve Doğa Manzaralı Satılık 3+1 Daire,6500000,Trabzon / Ortahisar / Çukurçayır Mah.,6,9. Kat,170,https://www.hepsiemlak.com/trabzon-ortahisar-cukurcayir-satilik/daire/163938-33,9.0,Ortahisar
Turyap Trabzon Akyazı Özel Bahçeli Mini Villa,15000000,Trabzon / Ortahisar / Akyazı Mah.,2,Bahçe Katı,342,https://www.hepsiemlak.com/trabzon-ortahisar-akyazi-satilik/villa/168939-6,0.0,Ortahisar
Çimenli Deniz Ve Sahil Yolu Kenarında Satılık Bahçeli Villa,27500000,Trabzon / Ortahisar / Çimenli Mah.,8,,290,https://www.hepsiemlak.com/trabzon-ortahisar-cimenli-satilik/villa/83736-831,,Ortahisar
İnönü Mah. Sahile Yakın Satılık Daire,3125000,Trabzon / Ortahisar / İnönü Mah.,31,4. Kat,120,https://www.hepsiemlak.com/trabzon-ortahisar-inonu-satilik/daire/163938-233,4.0,Ortahisar
1 Nolu Erdoğdu'Da Satılık 4+1 Daire,3600000,Trabzon / Ortahisar / 1 Nolu Erdoğdu Mah.,21,3. Kat,160,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-erdogdu-satilik/daire/164963-286,3.0,Ortahisar
Turyap Trabzon Akyazı Satılık Mini Villa,14000000,Trabzon / Ortahisar / Akyazı Mah.,2,2. Kat,305,https://www.hepsiemlak.com/trabzon-ortahisar-akyazi-satilik/daire/168939-5,2.0,Ortahisar
Yomra Safir Konutlarında Satılık Sıfır 4+1 Fırsat Daire,4950000,Trabzon / Yomra / Sancak Mah.,7,2. Kat,191,https://www.hepsiemlak.com/trabzon-yomra-sancak-satilik/daire/83736-489,2.0,Yomra
Kalkınma Mahallesinde Satılık 3+1 125 Metre Kare Doğalgazlı Daire,2680000,Trabzon / Ortahisar / Kalkınma Mah.,25,Bahçe Katı,125,https://www.hepsiemlak.com/trabzon-ortahisar-kalkinma-satilik/daire/125789-344,0.0,Ortahisar
Trabzon Gayrimenkulden Pelitlide Satılık 3+1 Daire,4700000,Trabzon / Ortahisar / Pelitli Mah.,0,1. Kat,125,https://www.hepsiemlak.com/trabzon-ortahisar-pelitli-satilik/daire/164963-283,1.0,Ortahisar
Yomra Safir Konutlarında Satılık 4+1 Sıfır Fırsat Daire,5250000,Trabzon / Yomra / Sancak Mah.,7,4. Kat,191,https://www.hepsiemlak.com/trabzon-yomra-sancak-satilik/daire/83736-487,4.0,Yomra
Trabzon Ortahisar Kasıryapı Evleri Sıfır 192 M2 Fırsat 3+1 Daire,5300000,Trabzon / Ortahisar / Pelitli Mah.,6,3. Kat,192,https://www.hepsiemlak.com/trabzon-ortahisar-pelitli-satilik/daire/93513-340,3.0,Ortahisar
Satılık 5+1 Eşyalı Dubleks Arsin,7700000,Trabzon / Arsin / Güzelyalı Mah.,6,9. Kat,240,https://www.hepsiemlak.com/trabzon-arsin-guzelyali-satilik/daire/163611-87,9.0,Arsin
Trabzon Gayrimenkul'Den Yalıncak Bölgesinde Satılık 1+1 Daire,3500000,Trabzon / Ortahisar / Yalıncak Mah.,0,5. Kat,50,https://www.hepsiemlak.com/trabzon-ortahisar-yalincak-satilik/daire/164963-267,5.0,Ortahisar
Turyap Trabzon Dolaylı Satılık Villa,14100000,Trabzon / Ortahisar / Dolaylı Mah.,6,Bahçe Katı,400,https://www.hepsiemlak.com/trabzon-ortahisar-dolayli-satilik/villa/168939-3,0.0,Ortahisar
Trabzon Ortahisar'Da Sahilde Satılık Daire.,1950000,Trabzon / Ortahisar / Toklu Mah.,30,Yüksek Giriş,105,https://www.hepsiemlak.com/trabzon-ortahisar-toklu-satilik/daire/30414-5728,0.0,Ortahisar
Asil Gayrimenkulden Çukurçayirda Satılık Daire,5500000,Trabzon / Ortahisar / Çukurçayır Mah.,15,6. Kat,140,https://www.hepsiemlak.com/trabzon-ortahisar-cukurcayir-satilik/daire/58878-892,6.0,Ortahisar
Deha Emlak`tan Satılık 3+1 Daire Akçaabat Yaylacık Mah,3750000,Trabzon / Akçaabat / Yaylacık Mah.,22,9. Kat,135,https://www.hepsiemlak.com/trabzon-akcaabat-yaylacik-satilik/daire/110612-922,9.0,Akçaabat
Akçaabat Ortamahallede Satılık Giriş Kat 3+1,2250000,Trabzon / Akçaabat / Orta Mah.,26,Giriş Katı,125,https://www.hepsiemlak.com/trabzon-akcaabat-orta-satilik/daire/118482-305,0.0,Akçaabat
Yomra Safir Konutlarında Satılık Zemin Sıfır Fırsat Daire,3550000,Trabzon / Yomra / Sancak Mah.,7,Zemin,165,https://www.hepsiemlak.com/trabzon-yomra-sancak-satilik/daire/83736-488,0.0,Yomra
Asil Gayrimenkulden Esentepe Mah Meydana Yakın Satılık Daire,2000000,Trabzon / Ortahisar / Esentepe Mah.,30,3. Kat,120,https://www.hepsiemlak.com/trabzon-ortahisar-esentepe-satilik/daire/58878-1026,3.0,Ortahisar
Bahçecikte Fırsat 3+1 Sıfır Daire,3750000,Trabzon / Ortahisar / Bahçecik Mah.,0,2. Kat,130,https://www.hepsiemlak.com/trabzon-ortahisar-bahcecik-satilik/daire/163440-261,2.0,Ortahisar
Trabzon 2 Nolu Beşirli De Satılık 3+1 Daire,4000000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,21,1. Kat,135,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/daire/163938-253,1.0,Ortahisar
Vip Real Estate 3 Nolu Erdoğdu Merkezi Konumda 3+1 Daire,5200000,Trabzon / Ortahisar / 3 Nolu Erdoğdu Mah.,0,2. Kat,130,https://www.hepsiemlak.com/trabzon-ortahisar-3-nolu-erdogdu-satilik/daire/163440-257,2.0,Ortahisar
Asil Gayrimenkulden Yenicuma Mah. Satılık Daire,3500000,Trabzon / Ortahisar / Yenicuma Mah.,30,2. Kat,115,https://www.hepsiemlak.com/trabzon-ortahisar-yenicuma-satilik/daire/58878-978,2.0,Ortahisar
Trabzon Yenıcuma Merkezi Konum Da Satılık Daire,2500000,Trabzon / Ortahisar / Yenicuma Mah.,16,1. Kat,115,https://www.hepsiemlak.com/trabzon-ortahisar-yenicuma-satilik/daire/163938-251,1.0,Ortahisar
Vip Real Estate Erdoğdu Merkezi Konumda 2+1 Daire,4250000,Trabzon / Ortahisar / 2 Nolu Erdoğdu Mah.,0,2. Kat,100,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-erdogdu-satilik/daire/163440-255,2.0,Ortahisar
Turyap'Tan Çukurçayır Palmiye Sitesinde Dubleks,12000000,Trabzon / Ortahisar / Çukurçayır Mah.,11,13. Kat,350,https://www.hepsiemlak.com/trabzon-ortahisar-cukurcayir-satilik/daire/168939-119,13.0,Ortahisar
Pelitli'De Satılık Yerden Isıtmalı 3+1 Fırsat Daire,5600000,Trabzon / Ortahisar / Pelitli Mah.,4,1. Kat,170,https://www.hepsiemlak.com/trabzon-ortahisar-pelitli-satilik/daire/164963-255,1.0,Ortahisar
Trabzon Bahçecik De Satılık Sıfır Daire,3850000,Trabzon / Ortahisar / Bahçecik Mah.,0,7. Kat,105,https://www.hepsiemlak.com/trabzon-ortahisar-bahcecik-satilik/daire/163938-235,7.0,Ortahisar
Vip Real Estate Den Aydınlıkevler Mah 3+1 2. Kat Daire,3850000,Trabzon / Ortahisar / Aydınlıkevler Mah.,26,2. Kat,145,https://www.hepsiemlak.com/trabzon-ortahisar-aydinlikevler-satilik/daire/163440-253,2.0,Ortahisar
Asil Gayrimenkulden Meydana Yakın Satılık Daire,2400000,Trabzon / Ortahisar / Gazipaşa Mah.,25,3. Kat,90,https://www.hepsiemlak.com/trabzon-ortahisar-gazipasa-satilik/daire/58878-954,3.0,Ortahisar
Turyap'Tan Aydınlıkevler Mah. Satılık 2+1 Daire,3100000,Trabzon / Ortahisar / Aydınlıkevler Mah.,21,Yüksek Giriş,110,https://www.hepsiemlak.com/trabzon-ortahisar-aydinlikevler-satilik/daire/168939-116,0.0,Ortahisar
Alisa Grup'Tan Trabzon'Da 3+1 130m2 Daire,3475000,Trabzon / Dernekpazarı / Kondu Mah.,6,4. Kat,130,https://www.hepsiemlak.com/trabzon-dernekpazari-kondu-satilik/daire/164515-20,4.0,Dernekpazarı
Bostancı Ak Yıldız Sitesinde 3+1 Deniz Manzaralı Satılık,8750000,Trabzon / Ortahisar / 1 Nolu Bostancı Mah.,6,7. Kat,180,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-bostanci-satilik/daire/164963-254,7.0,Ortahisar
Akçaabat Kavaklı'Da Satılık 2+1 Deniz Manzaralı Asansörlü Daire,2560000,Trabzon / Akçaabat / Kavaklı Mah.,26,11. Kat,130,https://www.hepsiemlak.com/trabzon-akcaabat-kavakli-satilik/daire/163938-213,11.0,Akçaabat
Vip Real Estate Den Aydınlıkevler Mah 3+1 4. Kat Daire,3600000,Trabzon / Ortahisar / Aydınlıkevler Mah.,31,4. Kat,120,https://www.hepsiemlak.com/trabzon-ortahisar-aydinlikevler-satilik/daire/163440-241,4.0,Ortahisar
Köy Hayatı İstiyorum Diyenlere Özel Satılık Bahçeli Mustakil Ev,13000000,Trabzon / Ortahisar / Yeşilova Mah.,6,Bahçe Katı,250,https://www.hepsiemlak.com/trabzon-ortahisar-yesilova-satilik/mustakil-ev/168939-101,0.0,Ortahisar
Boztepe Towers'Da 4+1 Satılık Daire,8000000,Trabzon / Ortahisar / Çukurçayır Mah.,6,9. Kat,205,https://www.hepsiemlak.com/trabzon-ortahisar-cukurcayir-satilik/daire/164963-245,9.0,Ortahisar
Millet Bahçesinin Yanında Merkezi Konumda Satılık 2+1 Daire,3475000,Trabzon / Ortahisar / İnönü Mah.,21,3. Kat,110,https://www.hepsiemlak.com/trabzon-ortahisar-inonu-satilik/daire/163938-206,3.0,Ortahisar
"Vıp Gayrimenkul'Den Söğütlü'De Ferah, Geniş 3+1 Satılık Daire",6100000,Trabzon / Akçaabat / Söğütlü Mah.,11,3. Kat,160,https://www.hepsiemlak.com/trabzon-akcaabat-sogutlu-satilik/daire/163440-216,3.0,Akçaabat
Fırsat!! Turyap'Tan Eşyalı 1+1 Satılık Daire,1650000,Trabzon / Akçaabat / Yıldızlı Mah.,11,2. Kat,55,https://www.hepsiemlak.com/trabzon-akcaabat-yildizli-satilik/daire/168939-88,2.0,Akçaabat
Ev Ve Arazi Trabzon Maçka Güzelce Köyü,7000000,Trabzon / Maçka / Güzelce Mah.,4,,220,https://www.hepsiemlak.com/trabzon-macka-guzelce-satilik/mustakil-ev/0-44136758,,Maçka
Albustan Villa Sitesi İlk 3 Villa Kampanyalı Satışta,13000000,Trabzon / Arsin / Cudibey Mah.,0,Bahçe Katı,220,https://www.hepsiemlak.com/trabzon-arsin-cudibey-satilik/villa/163611-79,0.0,Arsin
Değirmendere 'De Satılık 2+1 Deniz Manzaralı Daire,2100000,Trabzon / Ortahisar / Değirmendere Mah.,30,5. Kat,90,https://www.hepsiemlak.com/trabzon-ortahisar-degirmendere-satilik/daire/30414-5717,5.0,Ortahisar
Yomra'Da Satılık 3+1 Deniz Manzaralı Fırsat Daire,5590000,Trabzon / Yomra / Sancak Mah.,3,5. Kat,170,https://www.hepsiemlak.com/trabzon-yomra-sancak-satilik/daire/164963-207,5.0,Yomra
Beşirlide Sıfır Daire Bahçe Katı,4250000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,0,Bahçe Katı,135,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/daire/163938-186,0.0,Ortahisar
Vip Gayrimenkulden Karşıyakada Yatırımlık Kiracılı Fırsat Daire,8200000,Trabzon / Ortahisar / Karşıyaka Mah.,3,8. Kat,180,https://www.hepsiemlak.com/trabzon-ortahisar-karsiyaka-satilik/daire/163440-199,8.0,Ortahisar
Harika Konumda Satılık 4+1 Daire,8600000,Trabzon / Ortahisar / Konaklar Mah.,0,3. Kat,225,https://www.hepsiemlak.com/trabzon-ortahisar-konaklar-satilik/daire/83736-923,3.0,Ortahisar
Turyap'Tan Karşıyaka'Da 3+1 Satılık Daire,6500000,Trabzon / Ortahisar / Karşıyaka Mah.,16,9. Kat,160,https://www.hepsiemlak.com/trabzon-ortahisar-karsiyaka-satilik/daire/168939-61,9.0,Ortahisar
Trabzon Kaymaklı 1+0 Satılık Uygun Daire,1110000,Trabzon / Ortahisar / Kaymaklı Mah.,26,Zemin,55,https://www.hepsiemlak.com/trabzon-ortahisar-kaymakli-satilik/daire/164963-196,0.0,Ortahisar
Trbzon 2 Nolu Beşirli Sıfır Bahçekatı,5375000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,0,Bahçe Katı,120,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/daire/163938-183,0.0,Ortahisar
Vıp Real Estate Arsin'De Deniz Manzaralı Satılık 3+1 Daire,4250000,Trabzon / Arsin / Yalı Mah.,11,1. Kat,140,https://www.hepsiemlak.com/trabzon-arsin-yali-satilik/daire/163440-187,1.0,Arsin
Pelitli Palmiye Evlerinde 2+1 Eşyalı Deniz Manzaralı Daire,4800000,Trabzon / Ortahisar / Pelitli Mah.,2,3. Kat,120,https://www.hepsiemlak.com/trabzon-ortahisar-pelitli-satilik/daire/164963-189,3.0,Ortahisar
Akçaabat Kireçhane Deniz Manzaralı Daire,5000000,Trabzon / Akçaabat / Yaylacık Mah.,16,6. Kat,140,https://www.hepsiemlak.com/trabzon-akcaabat-yaylacik-satilik/daire/163938-182,6.0,Akçaabat
Platınum Satılık Sıfır Daıre,6500000,Trabzon / Yomra / Kaşüstü Mah.,4,13. Kat,220,https://www.hepsiemlak.com/trabzon-yomra-kasustu-satilik/daire/168939-34,13.0,Yomra
Yaylacık Mahallesinde 2+1 Satılık Daire,6000000,Trabzon / Akçaabat / Yaylacık Mah.,0,Zemin,90,https://www.hepsiemlak.com/trabzon-akcaabat-yaylacik-satilik/daire/0-45992558,0.0,Akçaabat
Ziraat Bankası'Ndan Hürriyet Mahallesinde Daire,5500000,Trabzon / Araklı / Hürriyet Mah.,4,4. Kat,155,https://www.hepsiemlak.com/trabzon-arakli-hurriyet-satilik/daire/87791-277940,4.0,Araklı
Mağmat'Ta Satılık Özel Yapım Ahşap Villa,12750000,Trabzon / Ortahisar / Kamışlı Mah.,0,Bahçe Katı,250,https://www.hepsiemlak.com/trabzon-ortahisar-kamisli-satilik/villa/164963-182,0.0,Ortahisar
Akyazı Satılık Vılla:Sera Golu Yakını,13000000,Trabzon / Ortahisar / Akyazı Mah.,1,Bahçe Katı,236,https://www.hepsiemlak.com/trabzon-ortahisar-akyazi-satilik/villa/168939-9,0.0,Ortahisar
Trabzon Kasıryapı Evleri 207m2 Sıfır Satılık 3+1 Fırsat Daire,5900000,Trabzon / Ortahisar / Pelitli Mah.,6,7. Kat,207,https://www.hepsiemlak.com/trabzon-ortahisar-pelitli-satilik/daire/93513-341,7.0,Ortahisar
Bahçecik Mahallesi Affan Lisesi Yanı 3+1 Daire,6200000,Trabzon / Akçaabat / Yıldızlı Mah.,10,8. Kat,160,https://www.hepsiemlak.com/trabzon-akcaabat-yildizli-satilik/daire/0-46424895,8.0,Akçaabat
Bahçecikteki Manzaralı Dairemiz Kampanyalı Fiyatıyla Sizlerle,4000000,Trabzon / Ortahisar / Bahçecik Mah.,21,6. Kat,140,https://www.hepsiemlak.com/trabzon-ortahisar-bahcecik-satilik/daire/163938-224,6.0,Ortahisar
Trabzon Merkez Satılık Konut,5810000,Trabzon / Ortahisar / İnönü Mah.,28,1. Kat,128,https://www.hepsiemlak.com/trabzon-ortahisar-inonu-satilik/daire/101004-10250,1.0,Ortahisar
Beşirli Mozaik Sitesinde Satılık 3+1 Lüks Daire,8250000,Trabzon / Ortahisar / 1 Nolu Beşirli Mah.,6,7. Kat,185,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-besirli-satilik/daire/164963-180,7.0,Ortahisar
Erdoğduda Fırsat Satılık Daire,1200000,Trabzon / Ortahisar / 2 Nolu Erdoğdu Mah.,26,Zemin,125,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-erdogdu-satilik/daire/163440-288,0.0,Ortahisar
Sera Gölü-Doğa İçinde Satılık Vılla,15000000,Trabzon / Ortahisar / Akyazı Mah.,1,Bahçe Katı,248,https://www.hepsiemlak.com/trabzon-ortahisar-akyazi-satilik/villa/168939-8,0.0,Ortahisar
Trabzon Da Özgün Mimari Ve Malikane Zarafetiyle Satılık Villa !,72500000,Trabzon / Ortahisar / 2 Nolu Beşirli Mah.,0,Bahçe Katı,610,https://www.hepsiemlak.com/trabzon-ortahisar-2-nolu-besirli-satilik/villa/164963-140,0.0,Ortahisar
Ziraat Bankası'Ndan Sancak Mahallesinde Dubleks,5000000,Trabzon / Yomra / Sancak Mah.,12,4. Kat,185,https://www.hepsiemlak.com/trabzon-yomra-sancak-satilik/daire/87791-278045,4.0,Yomra
Trabzon Akçaabat Satılık Konut,7430000,Trabzon / Akçaabat / Söğütlü Mah.,14,1. Kat,18500,https://www.hepsiemlak.com/trabzon-akcaabat-sogutlu-satilik/daire/101004-9282,1.0,Akçaabat
Trabzon Gayrimenkulden Yalıncak Altınşehirde Satılık 3+1 Daire,7450000,Trabzon / Ortahisar / Yalıncak Mah.,5,10. Kat,172,https://www.hepsiemlak.com/trabzon-ortahisar-yalincak-satilik/daire/164963-138,10.0,Ortahisar
Satılık Vıp Gayrimenkul'Den Özen Apartmanı'Nda Daire,3900000,Trabzon / Ortahisar / Karşıyaka Mah.,26,2. Kat,150,https://www.hepsiemlak.com/trabzon-ortahisar-karsiyaka-satilik/daire/163440-294,2.0,Ortahisar
1 Nolu Erdoğdu Mahallesinde Uygun Satılık Daire,1800000,Trabzon / Ortahisar / 1 Nolu Erdoğdu Mah.,31,1. Kat,100,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-erdogdu-satilik/daire/168939-132,1.0,Ortahisar
Trabzon Gayrimenkulden Satılık 5+1 Dubleks Daire,7000000,Trabzon / Arsin / Güzelyalı Mah.,5,9. Kat,215,https://www.hepsiemlak.com/trabzon-arsin-guzelyali-satilik/daire/164963-56,9.0,Arsin
Turyap Trabzon'Dan Yıldızlı Tokide Satılık 2+1 Daire,2625000,Trabzon / Akçaabat / Yıldızlı Mah.,16,10. Kat,100,https://www.hepsiemlak.com/trabzon-akcaabat-yildizli-satilik/daire/168939-126,10.0,Akçaabat
Trabzon Ortahisar Satılık Konut,5450000,Trabzon / Ortahisar / Yalıncak Mah.,3,1. Kat,148,https://www.hepsiemlak.com/trabzon-ortahisar-yalincak-satilik/daire/101004-10193,1.0,Ortahisar
Trabzon Gayrimenkulden Yalıncakta Satılık 4+1 Eşyalı Daire,9550000,Trabzon / Ortahisar / Yalıncak Mah.,5,11. Kat,192,https://www.hepsiemlak.com/trabzon-ortahisar-yalincak-satilik/daire/164963-53,11.0,Ortahisar
Turyap Gayrimenkul'Den Arsa İçerisinde Müstakil Villa,27000000,Trabzon / Ortahisar / Uğurlu Mah.,6,Bahçe Katı,320,https://www.hepsiemlak.com/trabzon-ortahisar-ugurlu-satilik/mustakil-ev/168939-109,0.0,Ortahisar
Trabzon Gayrimenkulden My Doğa Sitesinde Satılık Eşyalı Daire,6400000,Trabzon / Yomra / Namıkkemal Mah.,6,5. Kat,174,https://www.hepsiemlak.com/trabzon-yomra-namikkemal-satilik/daire/164963-47,5.0,Yomra
Çukurçayır Kaymaklıda Sıfır 3+1 Satılık Daire,4200000,Trabzon / Ortahisar / Kaymaklı Mah.,0,5. Kat,150,https://www.hepsiemlak.com/trabzon-ortahisar-kaymakli-satilik/daire/164963-226,5.0,Ortahisar
Asil Gayrimenkulden Esentepe'De Meydana Yakın Satılık Daire,2000000,Trabzon / Ortahisar / Esentepe Mah.,20,1. Kat,90,https://www.hepsiemlak.com/trabzon-ortahisar-esentepe-satilik/daire/58878-992,1.0,Ortahisar
Trabzon Araklı Da Satılık Daire,3175000,Trabzon / Araklı / Özgen Mah.,1,4. Kat,85,https://www.hepsiemlak.com/trabzon-arakli-ozgen-satilik/daire/163938-216,4.0,Araklı
Vip Gayrimenkulden Akçaabat Yaylacık Merkezde 3+1 Daire,3350000,Trabzon / Akçaabat / Yaylacık Mah.,26,3. Kat,145,https://www.hepsiemlak.com/trabzon-akcaabat-yaylacik-satilik/daire/163440-245,3.0,Akçaabat
Trabzon Bahçecik De Satılık Sıfır Daire,5300000,Trabzon / Ortahisar / Bahçecik Mah.,0,5. Kat,145,https://www.hepsiemlak.com/trabzon-ortahisar-bahcecik-satilik/daire/163938-209,5.0,Ortahisar
Vıp Gayrimenkuldan 1 Nolu Erdoğdu Da Satılık Müstakil Dublex,2150000,Trabzon / Ortahisar / 1 Nolu Erdoğdu Mah.,31,1. Kat,100,https://www.hepsiemlak.com/trabzon-ortahisar-1-nolu-erdogdu-satilik/daire/163440-228,1.0,Ortahisar
Kaymaklıda Deniz Manzaralı 3+1 Satılık Daire,4200000,Trabzon / Ortahisar / Kaymaklı Mah.,0,4. Kat,150,https://www.hepsiemlak.com/trabzon-ortahisar-kaymakli-satilik/daire/164963-216,4.0,Ortahisar
Vıp Gayrimenkul'Den Meydan'Da 3+1 Satılık Daire,2850000,Trabzon / Ortahisar / Kemerkaya Mah.,21,4. Kat,150,https://www.hepsiemlak.com/trabzon-ortahisar-kemerkaya-satilik/daire/163440-209,4.0,Ortahisar
Vip Gayrimenkul'Den Meydanda Yatırımlık Fırsat Daire,6250000,Trabzon / Ortahisar / Kemerkaya Mah.,31,3. Kat,125,https://www.hepsiemlak.com/trabzon-ortahisar-kemerkaya-satilik/daire/163440-197,3.0,Ortahisar
